GUID,Id,Name,Language
1,1,(няма измерение),bg
2,2,Ускорение,bg
3,3,Киселинно/Основен капацитет,bg
4,4,Площ,bg
5,5,Проводимост,bg
6,6,Плътност,bg
7,7,Динамичен вискозитет,bg
8,8,Електрическо съпротивление,bg
9,9,Електрически ток,bg
10,10,Електрическо напрежение,bg
11,11,Електрически капацитет,bg
12,12,Енергия,bg
13,13,Сила,bg
14,14,Честота,bg
15,15,Топлопроводимост,bg
16,16,Кинематичен вискозитет,bg
17,17,Дължина,bg
18,18,Светлинна интензивност,bg
19,19,Плътност на магнитното поле,bg
20,20,Маса,bg
21,21,Масово покритие,bg
22,22,Масов поток,bg
23,23,Моларна енергия,bg
24,24,Моларна маса,bg
25,25,Количество вещество (мол),bg
26,26,Мощност,bg
27,27,Налягане,bg
28,28,Пропорция,bg
29,29,Специфично електрическо съпротивление,bg
30,30,Специфичен топлинен капацитет,bg
31,31,Специфичен еквивалент,bg
32,32,Специфична активност на радиоактивни вещества,bg
33,33,Специфична енергия,bg
34,34,Скорост,bg
35,35,Повърхностно напрежение,bg
36,36,Температура,bg
37,37,Време,bg
38,38,Обем,bg
39,39,Обемен дебит,bg
40,1,(keine Dimension),de
41,2,Beschleunigung,de
42,3,Säure/Base-Kapazität,de
43,4,Fläche,de
44,5,Leitfähigkeit,de
45,6,Dichte,de
46,7,Dynamische Viskosität,de
47,8,Elektrischer Widerstand,de
48,9,Elektrischer Strom,de
49,10,Elektrische Spannung,de
50,11,Elektrische Kapazität,de
51,12,Energie,de
52,13,Kraft,de
53,14,Frequenz,de
54,15,Wärmeleitfähigkeit,de
55,16,Kinematische Viskosität,de
56,17,Länge,de
57,18,Lichtstärke,de
58,19,Magnetische Flussdichte,de
59,20,Masse,de
60,21,Massenbelegung,de
61,22,Massenstrom,de
62,23,Molare Energie,de
63,24,Molmasse,de
64,25,Stoffmenge (Mol),de
65,26,Leistung,de
66,27,Druck,de
67,28,Verhältnis,de
68,29,Spezifischer elektrischer Widerstand,de
69,30,Spezifische Wärmekapazität,de
70,31,Spezifisches Äquivalent,de
71,32,Spezifische Aktivität radioaktiver Stoffe,de
72,33,Spezifische Energie,de
73,34,Geschwindigkeit,de
74,35,Oberflächenspannung,de
75,36,Temperatur,de
76,37,Zeit,de
77,38,Volumen,de
78,39,Volumenstrom,de
79,1,(aucune dimension),fr
80,2,Accélération,fr
81,3,Capacité acide/base,fr
82,4,Surface,fr
83,5,Conductivité,fr
84,6,Densité,fr
85,7,Viscosité dynamique,fr
86,8,Résistance électrique,fr
87,9,Courant électrique,fr
88,10,Tension électrique,fr
89,11,Capacité électrique,fr
90,12,Énergie,fr
91,13,Force,fr
92,14,Fréquence,fr
93,15,Conductivité thermique,fr
94,16,Viscosité cinématique,fr
95,17,Longueur,fr
96,18,Intensité lumineuse,fr
97,19,Densité de flux magnétique,fr
98,20,Masse,fr
99,21,Couverture massique,fr
100,22,Débit massique,fr
101,23,Énergie molaire,fr
102,24,Masse molaire,fr
103,25,Quantité de matière (mole),fr
104,26,Puissance,fr
105,27,Pression,fr
106,28,Proportion,fr
107,29,Résistivité électrique spécifique,fr
108,30,Capacité thermique massique,fr
109,31,Équivalent spécifique,fr
110,32,Activité spécifique des substances radioactives,fr
111,33,Énergie spécifique,fr
112,34,Vitesse,fr
113,35,Tension superficielle,fr
114,36,Température,fr
115,37,Temps,fr
116,38,Volume,fr
117,39,Débit volumique,fr
