GUID,Id,Name,Language
1,1,Чувал ( Bag ),bg
2,2,Бутилка ( Bt. ),bg
3,3,Бушел ( BUA ),bg
4,4,Канистър ( Can ),bg
5,5,Кашон ( Car ),bg
6,6,Кейс ( Case ),bg
7,7,Щайга ( Crate ),bg
8,8,Градус ( deg ),bg
9,9,Дузина ( dz ),bg
10,10,Бъчва ( Dr ),bg
11,11,Грос ( gro ),bg
12,12,Международна единица ( NIU ),bg
13,13,Брой лица ( PRS ),bg
14,14,Пакет ( NMP ),bg
15,15,Чифт ( NPR ),bg
16,16,Палет ( PAL ),bg
17,17,Брой ( C62 ),bg
18,18,Ролка ( NRL ),bg
19,19,Хиляди ( thou ),bg
20,20,Тройунция/тон ( APZ ),bg
21,21,Всеки (ST) ( ST ),bg
22,22,Метър/секунда на квадрат ( m/s2 ),bg
23,23,Мол на кубичен метър ( mol/m3 ),bg
24,24,Мол на литър ( Mol/l ),bg
25,25,Акър ( acre ),bg
26,26,Хектар ( Hectar ),bg
27,27,Квадратен ярд ( yd2 ),bg
28,28,Квадратен сантиметър ( cm2 ),bg
29,29,Квадратен фут ( ft2 ),bg
30,30,Квадратен инч ( Inch2 ),bg
31,31,Квадратен километър ( km2 ),bg
32,32,Квадратен метър ( m2 ),bg
33,33,Квадратна миля ( Mile2 ),bg
34,34,Квадратен милиметър ( mm2 ),bg
35,35,Сименс на метър ( S/m ),bg
36,36,Грам/кубичен метър ( g/m3 ),bg
37,37,Грам/кубичен сантиметър ( g/cm3 ),bg
38,38,Грам/литър ( g/l ),bg
39,39,Килограм/кубичен дециметър ( kg/dm3 ),bg
40,40,Килограм/кубичен метър ( kg/m3 ),bg
41,41,Микрограм/кубичен метър ( µg/m3 ),bg
42,42,Милиграм/кубичен метър ( mg/m3 ),bg
43,43,Милиграм/литър ( mg/l ),bg
44,44,Тон/кубичен метър ( t/m3 ),bg
45,45,Американски паунд/американски галон ( lb/gal ),bg
46,46,Милипаскал секунди ( mPa.s ),bg
47,47,Паскал секунда ( Pas ),bg
48,48,Гигаом ( GOhm ),bg
49,49,Килоом ( kOhm ),bg
50,50,Мегаом ( MOhm ),bg
51,51,Ом ( Ohm ),bg
52,52,Ампер ( A ),bg
53,53,Килоампер ( kA ),bg
54,54,Микроампер ( µA ),bg
