"Id";"Name";"Language"
"1";"Чувал ( Bag )";"bg"
"2";"Бутилка ( Bt. )";"bg"
"3";"Бушел ( BUA )";"bg"
"4";"Канистър ( Can )";"bg"
"5";"Кашон ( Car )";"bg"
"6";"Кейс ( Case )";"bg"
"7";"Щайга ( Crate )";"bg"
"8";"Градус ( deg )";"bg"
"9";"Дузина ( dz )";"bg"
"10";"Бъчва ( Dr )";"bg"
"11";"Грос ( gro )";"bg"
"12";"Международна единица ( NIU )";"bg"
"13";"Брой лица ( PRS )";"bg"
"14";"Пакет ( NMP )";"bg"
"15";"Чифт ( NPR )";"bg"
"16";"Палет ( PAL )";"bg"
"17";"Брой ( C62 )";"bg"
"18";"Ролка ( NRL )";"bg"
"19";"Хиляди ( thou )";"bg"
"20";"Тройунция/тон ( APZ )";"bg"
"21";"Всеки (ST) ( ST )";"bg"
"22";"Метър/секунда на квадрат ( m/s2 )";"bg"
"23";"Мол на кубичен метър ( mol/m3 )";"bg"
"24";"Мол на литър ( Mol/l )";"bg"
"25";"Акър ( acre )";"bg"
"26";"Хектар ( Hectar )";"bg"
"27";"Квадратен ярд ( yd2 )";"bg"
"28";"Квадратен сантиметър ( cm2 )";"bg"
"29";"Квадратен фут ( ft2 )";"bg"
"30";"Квадратен инч ( Inch2 )";"bg"
"31";"Квадратен километър ( km2 )";"bg"
"32";"Квадратен метър ( m2 )";"bg"
"33";"Квадратна миля ( Mile2 )";"bg"
"34";"Квадратен милиметър ( mm2 )";"bg"
"35";"Сименс на метър ( S/m )";"bg"
"36";"Грам/кубичен метър ( g/m3 )";"bg"
"37";"Грам/кубичен сантиметър ( g/cm3 )";"bg"
"38";"Грам/литър ( g/l )";"bg"
"39";"Килограм/кубичен дециметър ( kg/dm3 )";"bg"
"40";"Килограм/кубичен метър ( kg/m3 )";"bg"
"41";"Микрограм/кубичен метър ( µg/m3 )";"bg"
"42";"Милиграм/кубичен метър ( mg/m3 )";"bg"
"43";"Милиграм/литър ( mg/l )";"bg"
"44";"Тон/кубичен метър ( t/m3 )";"bg"
"45";"Американски паунд/американски галон ( lb/gal )";"bg"
"46";"Милипаскал секунди ( mPa.s )";"bg"
"47";"Паскал секунда ( Pas )";"bg"
"48";"Гигаом ( GOhm )";"bg"
"49";"Килоом ( kOhm )";"bg"
"50";"Мегаом ( MOhm )";"bg"
"51";"Ом ( Ohm )";"bg"
"52";"Ампер ( A )";"bg"
"53";"Килоампер ( kA )";"bg"
"54";"Микроампер ( µA )";"bg"
"55";"Милиампер ( mA )";"bg"
"56";"Наноампер ( nA )";"bg"
"57";"Киловолт ( kV )";"bg"
"58";"Мегаволт ( MV )";"bg"
"59";"Миливолт ( mV )";"bg"
"60";"Волт ( V )";"bg"
"61";"Фарад ( F )";"bg"
"62";"Микрофарад ( µF )";"bg"
"63";"Милифарад ( mF )";"bg"
"64";"Нанофарад ( nF )";"bg"
"65";"Пико фарад ( pF )";"bg"
"66";"Гигаджаул ( GJ )";"bg"
"67";"Джаул ( J )";"bg"
"68";"Килоджаул ( kJ )";"bg"
